Review_title,Review_content
Don't listen to the bad reviews.!,"Tbh, i'm not a marvel fan, but i love benedict cumberbatch as dr strange, and both movies are worth it.!

This movie was the best movie in 2022, i can totally recommend it <3."
Exactly what I Expected...,I got everything I paid for. Everything went as expected. Satisfied. If you go expecting to a decent marvel movie sequel you should not be disappointed.
A miss or a hit??? Or a bit of both??,"What I liked about the movie: 1. The performances from everyone, especially Olsen and Cumberbatch. Both of their roles had great impact on the movie. Top notch.

2. This movie has some SPECTACULAR VFX!! Just Incredible and up to par!!!!! Along with the action... What a treat to watch... Too violent in terms of an MCU movie.. wow!! Was thrilled to see such thing.

3. The story is engaging and good, keeping you on the line and kinda thrilling. (has less plot holes than NWH, which I'll admire)

4. The ""dark"" (different for MCU) Raimi direction and Elfman's score is toooo good. Bravo for that. No doubt.

5. The introduction to Multiverse and it's aspects is great, The Illuminati's introduction, I liked it a lot... but........ (here comes the negative part)

1. But.... The way all of them are treated, not gonna lie, was just atrocious. I can't believe Marvel did such a move. No better or admirable moments for them (This is where NWH succeeded, they used every character at their finest and the movie was charming as hell, no one looked at the plot holes much) Even kinda letdown for exploration the ""Multiverse"". Not much as expected

2. I just don't know why the movie isn't as charming at some times, it loses it's grip cause of the good but a lot of convoluted screenplay in small time. The short runtime reduced the depth of a good story. Bit much for little runtime

3. America Chavez is a good character, we needed more of her origin, instead of making her the Macguffin. I'd like to see more of her...

4. Yaa ik we all love Wanda, but at times it was.. kinda too much of her for me. It wasn't a ""Scarlet Witch"" lead movie.

Final Verdict: Still from the beginning to the climax, movie is really engaging to watch. Some expectations aren't really fulfilled but np, got enough to enjoy... a solid movie. I won't compare it to NWH, but this movie had better screenplay and story, while NWH had that charm of success. Still go enjoy this movie... worth your money I can say. 4/5 Stars...

(Post credits scene is just the worst.... don't wait for it. Go home. First one is enough)"
"quite good, keeping surprise",
Good product by Marvel. Deserves Appreciation. (No spoiler Review),"Dr strange's sequel Really lived up to my expectations because story is convincing and logical follow up to MCU timeline. See we can't expect Kang, X-mens, Spidermans, and every single multiverse MCU villain in this single movie just because this movie titles Multiverse of Madness.

Wouldn't it be too soon to explore all the multiverse fun in a single movie?

The movie focuses on it's titled superhero dr. Strange who is trying to adjust his life after endgame. And one day he meets America Chaves and the multiverse begins to unfold.

The Antagonist or supervillain of the movie is great because it's powerful than Superhero and threat to him and multiverse.

I love how marvel is giving good villains who are more powerful than superheros, we all know Marvel always gets criticized for weak villains.

Watch this movies guys. See it's movie of Dr strange so its obvious it will show his struggles and journey to multiverse. Its not a movie of 'Cameos in Multiverse of Madness'.

So go to watch Dr strange and Wanda. Not to see your favorite characters coming for one minute cameo roles."
not what i expect,
I'm glad I waited until Disney+...,
Unorthodox Marvel entertainment with great acting,"It's was a great watch. Action sequences were amazing, the visual aspects were top notch and acting was brilliant. This is not your conventional Marvel movie. The best part, it made me drop a tear in few moments. Must watch."
Meh...Not the best,"Perhaps audiences in other universes will like this better. Or maybe the movie is just better in other universes.

Either way, no need to rewatch this again in this universe."
The first time I watched it...,
Worst Marvel movie ever,"Chaotic, unengaging, no memorable scenes or quotes. Script lost in a Lego-movie-like metaverse, vainly utilising (and destroying) major Marvel concepts like the Incursion and the Illuminati. One of the biggest actors of our time, Benedict Cumberbatch, spends his time swirling his hands in magic gestures. Elizabeth Olsen's performance is the only positive aspect."
Good for newbies. Great for MCU fans. Exceptional for comic book fans!,"I saw this movie with my nephew, my wife, and our daughter. My nephew is a newbie to the MCU and, while he had a lot of questions, he really enjoyed the film. My wife and our daughter are MCU fans (our daughter so much more so than my wife) and they really loved this movie. My wife is also a fan of the horror genre so it added to her delight. As for me, I have been collecting Marvel comics since I was 10 years old. This movie was the comics-to-film equivalent of an acid trip down memory lane. I can't wait to see it again!"
Second try,"My first review was rejected - I can only imagine this is because I was too honest with my disapproval of the MCU obsession with interracial relationships. But I have seen the errors of my ways.

This movie was awesome in every way and the interracial wedding at the beginning of the movie was 100% necessary to the plot and too many white people in a movie is only going to make it less cool.

All that aside, Wanda was fantastic (seriously) and this movie is a logical extension of WandaVision. Dr Strange was okay, but the whole multiverse thing is getting out of hand. I'm getting bored of it."
Not What I expected!!,"Doctor Strange 2 is a great movie but not what I expected. Wanda Maximoff (Elizibith Olsen) and Sorcerer Supreme Wong ( Benedict Wong) are the real highlights of the movie as usual Dr. Strange (Benedict Cumberbatch) rules.

Although there are some questionable choices were made in the film. The main criticism for me is pacing which is really slow for my liking , when the movie's runtime was announced as 2h 6m I was worried how they would fit all the multiverse stuff and now after seeing the movie I think this would have been a great movie if the runtime was between 1h 30m to 1h 45 m as the story doesn't need more than that.

Important Note: Don't go to the movie just for the movies. Don't let your speculations be your expectations .Expectations are the theft of the joy.

Overall a solid entry and I'm not quite sure how all the fans would treat and feel about this movie.

8.2/10."
Expectations are killer,"I think people need to stop having preexisting notions of what should happen in every movie. Another thing- don't expect a movie filmed with cameos.

I loved the horror elements, the acting, and the visuals.

The plot was pretty straightforward and that gave more leeway to try and understand exactly what is happening with the mindbending multiverse and madness stuff.

Wanda is the most interesting character in this film.

It's not without it's faults though. It's pretty messy and hard to follow at points. It should have used an extra 20 minutes to flesh out a bit more.

Overall, this makes de me excited for the future of Doctor Strange. Sam Raimi did great."
What the heck did I just watch,The whole movie theater walked out of there in confusion. I watched a movie that could have been done in the first 30 mins stretched for roughly an hour and a half. The worst marvel movie I've ever seen. Do not pay money for that movie..... damn.
Such A Horror Movie,"Doctor Strange MoM is very different than the previous one. This one has horror vibe. It such a scary ande gore fest movie. The pacing, action, and cinematography intended to shock the audience.

The way they make Wanda return as the villain is a genius move. Now she's so powerful. Elizabeth Olsen deliver some serious acting here. If you've seen angry wild animal when their kid in danger, that's what Scarlet Witch feels like, furious. She release motherly wrath upon her enemies.

But, I also have some complain about this movie. With Multiverse as the title I was wishing to see Doctor Strange action in various world. While we get a lot of universe, they were just a glimpse. The actual world where Strange is in action is only a little. And to my surprise some CGI is a bit off. The first movie is better visually.

I really want to give this movie 9 stars rating. But, I still have complain other than the above. So I settle with 8, well, 8 and half maybe."
Wanda's Madness,"This wasn't exactly a multiverse of madness, rather Wanda's Madness, which is still great of course, but this was a golden opportunity to do a couple of more cameos and take advantage of the multiverse, it could have been a real madness but they decided to keep it simple.

With that said, it was a great movie, I loved this dark Wanda, killing people with no mercy, and I liked America Chavez as well. The special effects and scenes were awesome and, overall, very entertaining movie."
"""You break the rules and become a hero. I do it and I become the enemy. That doesn't seem fair.""","DOCTOR STRANGE 2 is indeed strange.... and creative, and facetious, often scary and always visually delicious. A few story beats disappoint but that's perhaps enviable after being spoilt so often in other MCU outings, yet this still manages to throw a few surprises at you later on. Elizabeth Olsen is spellbinding, new hero Chavez (Xochitl Gomez) has an exciting future and director Sam Raimi treats us to a host of haunted-house frights that have seldom been found in other comic book movies.

THE MULTIVERSE OF MADNESS is a messy yet imaginative thrill ride that will spin your head around from humorous start to bonkers finish."
Too dark seemed like horror movie at times,Very dark movie!! We took our kids to watch and it was a mistake. At times looked like a horror movie. Is this the direction Marvel is going? Has anyone else noticed the men keep being weaker and the women stronger?
Multiverse of Stories Opened,This movie is a complete visual extravaganza and also reveals several characters which might become crucial in the upcoming movies. Some of the scenes are well shot and good to watch in 3D.
Mediocre at best.,"Mediocre at best... LGBTQ message/indoctrination continues. Sure, I know... it's about inclusiveness... but where were the Asian Indian characters or did I somehow miss them. After all... there are 1.5 billion Asian Indians, shouldn't they be included? I wish the LGBTQ fascists would leave our children alone. Coming of age is difficult enough without confusing children to believe they might be one of sixteen genders (or however many there are this week)..."
Pointless movie but great cgi at times,Doctor strange hasn't had the best of films but this one is sooooooo boring don't watch there is no point the end credit scene doesn't matter it's just a hint of another doctor strange film whyyyyyy pointless don't watch although the CGI is good at times especially when they are going through different universes. Overall pointless film don't watch just trust me don't watch it.
"Should be called ""Wanda wants a kid""","Not really much of a story really, very over hyped.

I wouldn't reccomend watching at the movies.

There were some cool multiverse things, but it went nowhere."
Definitely madness!,"Wasn't perfect but it was a fantastic film!

Cast was great, cameos were also amazing!

Some of the fight scenes were brutal which was good to see in a marvel film for a change.

Thought the story in the movie was cool, can not wait to see Doctor Strange return for a 3rd movie!

Hopefully it doesn't take years to come out."
Both excellent and somewhat lacking at the same time,"By this point of the marvel universe or should I now say multiverse, there have been upwards of two movies and dozens of characters introduced from the big to the small. On the big screen and the small screen. However I'm beginning to to feel that for the casual fan who is not deeply into the comics or movies its very easy to get lost in the plot as one needs to have watched and understood at least several of the previous tv shows, in order to fully understand everything that's happening. The Screen I was watching the movie in 3 teenagers left the movie half way through and never returned. I can only presume it was to do with the plot confusing them as the movie is excellent if you can understand it.......

Taking into consideration if you're a viewer who's watched all the comics and seen all the shows and movies and follows the hype on YouTube, this is a great movie. The movie explores the multiverse which was touched on only briefly in the previous Spiderman movie. The movie turns into a big multiverse battle between the Dr Strange and The Scarlett witch. It was extremely entertaining, amazing visuals, and at times very funny. I'd highly recommond it, again more so if you are familiar with the movie. My only take away is that I feel the multiverse is overly bloated and in any one or two films 3 hours or two hours is never enough to do justice character's who appear or have the potential to appear. So I'm pulled in two directions by this movie, you'll either love it or be a bit turned off perhaps. Anyway 7/10."
better than no way home,"Sam Raimi does incredible comeback. Far better than no way home ;) Amazing visual graphics and the camera work, sound effects acting was decent. Recommended higly."
Multiverse of Wanda,"Perhaps from the first trailer show coupled with the film's so vigorous marketing, it was a little disappointing. But, overall I was able to enjoy this movie. This movie is good, only the impression of the ""multiverse"" carried throughout the film is less noticeable. There are only two multiverses out of so many universes that we might think of getting the action. In fact, Wanda's portion as the Scarlet Witch and the antagonist is too much and the plot of the story is more towards Wanda's background. American Chavez and Strange? Just a sweetener it seems. The existence of the Illuminati? It was amusing to see a fan-favorite group then brought up. I really like Doctor Strange's fight against Sinister Strange. Play beautifully by using musical elements combined with orange and purple colors. Sam Raimi brings this film with different views ranging from zoom out and zoom in to a very crazy transition mix."
Not my cup of tea,
"Umm, no","Maybe I do not write enough positive reviews, like: Last Star Fighter- loved it, Avengers Infinity War- loved it... This movie, just too much... Hard to follow, low budget CGI, and felt like you needed a ""score card"" to keep up with events.

This seems to tell a story, but I don't want to have to recall a decades worth of film. Actors and Actress do a great job, but nothing can save this film from itself.

Oh, and it was painfully boring at times. Not even the constant barrage of visual images could fix that."
"Great Story, So-so Execution","I really enjoyed the first Dr Strange. It was fun, weird, campy, and trippy. I admit much of my love for the first movie might just be my love for Cumberbatch... but I really liked it.

This movie is in many ways a worthy sequel. It has a great, trippy plot, wonderful actors and characters, and even though the tone is much darker, I enjoyed the overall thrust and premise. That said, certain parts of it were just... gross and unnecessary.

I write this as a rather sensitive mid-20-year-old who had to stop watching Agents of Shield bc it got way too sadistic and weird. I refuse to watch Moon Knight bc of some of the premises. I like watching tense action shows, but I am quickly turned off by too much gore. So, take from that what you will.

This movie did not cross the line of what I'm no longer willing to watch, but it came awfully close. I have never been fond of anything involving Zombies, demons, or demonic possession, and this included elements of essentially all three. It was at times a pseudo-horror film, for sure.

I don't regret watching it, but it has definitely turned me off from blindly watching any new MCU sequels (to be clear, I was always more of an incidental MCU follower anyway). I don't necessarily like where they are going with it these days."
I sleep,"Terrible writing as per usual from Marvel. I couldn't get passed the first 20 minutes of the film its so bad. Marvel really has to fire their current writers cause they suck. Don't watch this film I would fall asleep faster watching this movie than I would sinking down a couple melatonin capsules.

TERRIBLE!"
Disney TV Series Wandavision or was it just Strange,"Well I got to Watch this last night, I would have to say it was ONE of the Slackest Marvel Movie I've Seen .

This was like watching Disney's Tv Series Wandavision, the acting and script get that Lame it might as well have been 5 episodes of Wandavision or Doctor Strange what ever you call it but, for entertaining this missed it for sure.

Boring at most times with Tv like Script Writing and Acting , doesn't drag you in more of a boring TV Show then a Theater Movie.

What Happened to The Wanda's/Scarlet Witch Sokovia Accent ?

Why was she so focused on the Children wasn't Vision the Love of her Life ?

This made no sense and 1 year to late."
The Horror Movie Marvel Needed,"Sam Raimi always knows how to put on a show, and Doctor Strange in the Multiverse of Madness is no exception. It's an amazing introduction to the MCU's multiverse, really giving us an idea of what's out there to be explored, and setting up the anticipated Secret Wars. Elizabeth Olsen delivers a truly terrifying new side to the Scarlet Witch that has been long awaited in the Marvel fanbase, and she doesn't disappoint with it. Xochitl Gomez introduces a new, lovable character to the MCU: America Chavez. Not only are her powers something to get excited about for future multiversal trips, but she's easily a fun, wholesome character with lots of spunk. Benedict Cumberbatch is always a delight to see as Doctor Strange, and a lot of his new spells and tricks are something to get hyped about. And I couldn't make a review on it without mentioning that amazing soundtrack that blends amazingly with the scenes. This movie is full of action, and while there aren't a lot of new universes explored, and the movie does feel a little fast, it still holds its ground and gives the audience a good time while not overwhelming them. Not to mention it can be classed under the horror genre, something I'd love to see again in future MCU movies. All in all, while a little fast paced, it still has plenty to marvel at, so you'll hear no complaints from me if you ask if I want to watch it."
Story? What story?,"This was just painful to sit through. Way too long, and mostly about Wanda (the red witch). The special effects were incredible... and never-ending. The story was obscure. Took me 3 tries to finish it. If you're a fan of the ""universe"" and unending light shows, go for it, but if you have any finesse in your movie tastes, spare yourself!"
Give Elizabeth An Oscar,"Everyone is great in this movie but IMO Elizabeth Olsen was the standout and gave a bone chilling, endearing, sympathetic, and insane performance. Sam Raimi was such a fantastic choice to direct this movie and while it doesn't always work, most of the time it does in the most unsettling and creative ways. I really loved this movie and now have it as my 4th favorite MCU movie. Go out and see this, it's Stephen and Wanda unleashed for better or for worse and you owe yourself this experience. My score is a 9.5/10 with the caveat that you may absolutely hate this movie based on the fact that Sam is directing it so keep that in mind. Don't like Sam? Skip it, he's also unleashed here and at his best."
"I give it a 6, for old times sake",
"Demonic movie , waste of time!","Its not about Dr Strange. It's about witchcraft and demons.

Waste of time! Don't watch with kids, so much evil, demons, demonic, some exorcism. So disappointed wasted my money on a movie I can't even enjoy with kids. Never again!"
Welcome to Sam Raimi's mad world!,"The suspenseful horror film like effects are what sets this film apart. It is not wholly like a Marvel superhero film nor wholly like a suspenseful horror film by Sam Raimi. This is why I loved it. The multiverses could've been touched upon a bit more. Like someone said, it is more of madness than the multiverse. If only a balance was struck it would have been excellent."
"Disney, what are you doing?","I liked the first Doctor Strange and I had high hopes for the sequel because I thought Disney could make something even better, as there was a lot to improve upon, but alas, they didn't.

The story is a mess. Those rumours about reshoots and test audiences not loving this movie make sense, especially considering this film lost its original director. What's up with character assassination of Wanda? Why is Strange an afterthought in his own movie?

The only thing going for this movie are it's visuals (the 30 second glimpse of the different realities in the multiverse was visually breathtaking). Unfortunately, it looks like Disney/Marvel are focusing more on over the top CGI in this new phase as opposed to good storytelling."
Marvelous!,A perfect thriller with bold and wildest plot. Exceptional direction and storytelling. A visual treat to watch with excellent character performances. Exciting cameos. Best Marvel movie post infinity saga.
Trash Movie,"Don't expect much from this movie Not a good story really bad plot.

You will be really dissapointed after watching this movie.

The animation CGI and VFX were marvellous.

It's my opinion but Venom has a better story and plot than this shi- even amazing spiderman 1 has better character development than this movie."
"Very funny, but pacing inconsistent",
I don't understand so many bad reviews,
"great movie, i just didn't like the motivation of the antagonist",
Not upto the mark,
One Time Watchable Movie,"The story and screenplay of the movie is very good. Movie editing is perfect. The length of the movie is neither more nor less. Perfectly kept. It goes without saying that there is no background music. The VFX of the movie is awesome in one word. What I missed in the movie is not playing the cameo role of any big superhero character. If it is said which of the two movies in this series is better, then in a word, the movie of the first part was the best. Elizabeth Olsen, who played the villain role in the movie dies at the climax of the movie."
End of Marvel!,
Too much Wanda,
Positive Madness,"Doctor Strange in the Multiverse of Madness was a madness but Sam Raini pulled it off in a positive way.

It was one of the most action packed Marvel movies with the action kicking off from the opening scene and remaining consistent throughout.

Sam Raini's (Spider-Man 1-3, Evil Dead) presence on direction was readily apparent with this being one of, if not the most brutal marvel films in terms of how the action was delivered. There was also a horror feel to many of the scenes which is a nice change of tone from the usual Marvel films.

Dr strange's unique abilities allowed for a lot of creative leeway as does the multiverse in general. There is one particular scene with the use of music which i thought worked well, though not perfectly. At times I was wondering whether I was loving the scene or absolutely hating it. There were also a few times when i thought that CGI was overdone or could have looked better but i was able to deal with it in the end.

I enjoyed the story. Despite taking place in the multiverse, the story was relatively simply, straight forward and contained which worked well.

There are some interesting features in this... but they are best witnessed for first time on the big screen... Cumberbatch as Dr Strange was solid as usual and new girl America Chavez was a good addition that worked well with Dr Strange.

The best performance was from Elisabeth Olsen who is fantastic as Wanda as we saw in the Disney+ WandaVision series. She has a lot to work with given the depth of the character but she pulls it off perfectly. She helped to elevate the film making it one of the better entries into marvel phase 4."
"Chaotic, and not necessarily in a good way but not too bad either.",
Trippy and intriguing,"I didn't set my expextation high before seeing this movie, but it surprises me in a positive way, the acting, the visuals, all are very well done, congratulation to Sam Raimi for pulling this off!"
Horrible Story,
Multiverse Mash up,"Great actors, fantastic CGI and loads of action and I mean LOADS of action, so 6 stars from me. Unfortunately, it's all a bit muddled jumping from one scene to the next with abandon. When all is said and done, it's a goodish movie."
Visually stunning .. but that's it.,"They really went all out on the CGI for this movie which made it look beautiful and amazing visually. However the story and characters seemed to have got lost amongst all of the visual effects.

Because of all the visual effects, the actors didn't actually do much acting which is a shame because the I love the actors in this movie. The story was complex and complicated and it was hard to understand what was happening and where they were going next. It seemed like they forced too many things into this only 2hr movie.

If you want to be blown away by visual effects this is the movie for you. It definitely wasn't my favorite Dr Strange movie."
The trailer caught me but the movie didn't!,"In other words, the trailer for this seemed to come across as an action packed dark adventure but in actual fact the movie was just a regular adventure for an Avenger! I think besides that, you telling me there wasn't another option to beat Wanda? Ummm yes, take her power FFS. It's for the greater good or how about killing all the Wandas or even threaten Wandas fake kids, like ship them off to dark dimension! Think out of the box!"
My 2 cents,
Multiverse of Mess and Chaos,"The first time I saw the trailer, I thought they were hiding details and let us see only few scenes in order not to spoil the movie, but the movie isn't what we thought about. It doesn't deliver much madness or much multiverses. The main issue I have with the movie is the plot. It highly depends on the events of WandaVision. And also it is repeated because Wanda's actions from the show are the same here. In case you haven't watched the show, you'll mess a key point about the motivation of Wanda.

We were expecting weird and new worlds. In return, we saw a glimpse of that in a few seconds. The movie needs more time to explore the multiverse in its true form and to develop the character's ark of the little girl.

Not to mention there are only few cameos of certain characters.

The bright sides of the movie include the acting of the main characters, especially Elizabeth Olsen, the action scenes are awesome, the CGI are good but there is a scene or two were bad, and some details, I can't mention so not to spoil the movie, are great."
Horrifyingly Violent,Such a Disappointment from Marvel
CGI Madness Entangled with a Heartbreaking Tale,"Admist the CGI Insanity and alternate multiverses, which I frankly don't care much about, likes the final chapter of Wanda's character arc. And it is absolutely incredible! This film cultivates the foundations that WandaVision built and extends it to an emotionally propelled tale of loss and anguish which destroys Wanda from within.

The finale of her characterisation left me slightly reeling yet thankful that the inevitable has been executed so wonderfully.

Overall, this film is both deeply emotive and a headache at the same time.

Still well worth watching."
Would have been amazing if marvel studios itself did not spoiled it,Was so looking forward to dr strange movie and was hyped by first teaser in no way home . Going crazy with the multiverse theories . Don't know why Marvel studios release too many trailers containing major spoilers . They literally gave off most of the movie . Watching the movie really felt if those trailers wouldn't have been released this movie would be an epic in MCU.
Not as good as expected,Movie was immersive and very intriguing seeing different sides of the multiverse but overall didn't quite grab my emotions as no way home and some previous marvel movies the visuals where absolutely amazing but the story was a little lacking its still worth a watch and engaging but overall a 7.5 for me :).
I loved it,"My favorite Marvel movie. I love how the story mixes science with magic and the multiverse. Im really into philosophy and pondering the true nature of the universe, so this storyline is great. Never a dull moment, lots of really good action."
The Path of Universe destructing plots continuous...,"It stuns me that Marvel is pulling it off: The strangest stories and plots imbedded in the most stunning visual effects - and the result is a watchable movie.

Unfortunately a lot get lost on this path.

What I absolutely don't appreciate is, the continuity of universe (or multiverse?) destroying events. And in the doubling down of, well - madness. Madness, that nothing is as in our ""normal and rather boring"" universe (it isn't - but it is for sure not as fantastical).

More and more the MCU is converting to a style of genre which I haven't got much regard for: fantasy.

In early Marvel movies (e.g. Thor) magic was considered as part of science (just with other ""means""). However this (rather science fiction like interpretation) went totally out of the window.

Now there is apparently the difference between witchcraft and sorcery (don't ask me) - and there are demons and other ""monsters"".

I haven't watched this movie in the cinema - at this time, it is too much from to tolerate (even though the visual effects definitely rock more in the theater). And slowly I get to the point, that I am just annoyed by the sheer spectacle without real substance.

Maybe we can see a movie, without looming destruction of reality? You know - we have already enough problems in the real world???"
A dynamic rollercoaster you need to see on the big screen,"A movie with gorgeous visual effects and a beautiful, fantastical imagination.

The plot is interesting but some of the writing isn't great. Also the acting here and there is a little over the top dramatic and the twists & turns can be a bit much but it kind of makes it part of the charm."
An alright addition to the franchise,"Very good sequel and I can't imagine a better duo than Sam Raimi and Danny Elfman who both previously worked together on the Spiderman trilogy Raimi taking up the directors chair and Elfman doing the amazing score. This film was very fun to watch with absolutely amazing visual effects. Benedict Cumberbatch is brilliant once again as Doctor strange and I love how his character got further fleshed out and made me care for him even more. I wish Wong had some more screen time though as he was hilarious whenever on screen. What was also nice to see was the other multiverse characters either as different iterations of themselves or new whole characters to the MCU. However there was one element of the film which I didn't enjoy which was the antagonist Wanda I found her very tedious and annoying as I found her just acting the same as she did in Wanda vision, not learning a lesson after the events of the TV series. She has very little character progression until the very end of the film... That's nothing on Elizabeth Olsen's performance she's a great actress it has more to do with the writing and I just wished she had more of a motivation and wasn't as contradictory. Overall it's definitely worth a watch but it's not in my top 10 of the MCU films.

P.s there are two credit scenes one mid credit and one post credit... The post credit is not worth waiting 10 minutes for."
Pretty Good,
This movie should've been called WandaStrange.,"Good: Writing and acting amongst the cast was top notch and nobody felt like they could've done a better job. That and the visual effects are what carried the movie for me. Also, the cameos were surprising and set up future films in interesting ways. This movie HAS changed the MCU for the better.

Bad: Just about everything else. I already had set my expectations low because of the overall score of the reviews but I still came out disappointed. The build up in the first Act was exciting and fun. They set up so many things and it felt like a true Multiverse of Madness movie. However, from the 2nd act onwards, it all fell apart slowly and painfully. The villain was revealed way too soon and by the end, I didn't understand their motivation for their actions. The movie sets an excellent foundation for a big finale but what we got wasn't even on par with Disney Plus show finales. Multiversal travel was underwhelming and underused during the 2nd and 3rd acts. 'What If' did it better.

Perhaps this film is the 'Age of Ultron' of this phase. It's a lackluster movie that sets up the rest of the current phase, future movies and even future shows. It's not a bad movie by any means but I do feel like it could've been much much more. Such a shame."
Only Slightly Better than the Eternals,"I haven't turned it off in disgust yet, but I'm bored as heck.

The movie makers spent a fortune on CGI and figured, I guess, that that would be enough for Dr. Strange fans. But it's not. It's like a bad nightmare - no pun intended. I had high hopes for this movie, but they were dashed in the first twenty minutes.

If it helps, I hated Wanda Vision, so a continuation of Wanda's storyline is not interesting to me, either."
10/10,
horrible,
Great movie 🎥 🍿,
It's great if you've been following the franchise,If you haven't been following the franchise you will be lost and not know anything and I can't imagine going to the cinema and seeing a poster for this and going in blind because the movie starts off with no introduction. I found the scene with the head exploding kinda weird as the cinema I went to had kids in the theatre. Love Dr strange would love to see more of him but this wasn't his best film.
Got nothing but special effects going for it,"I did enjoy some of the fighting scenes and some of the special effects but thats the only thing this movie delievers on.

Everything else is just bad and generic."
Entertaining...But A Bit OverBoard...,"I've been a Marvel fan since the spiderman cartoon of the 60s/70s. Lately, I have missed many of the recent Marvel releases as they have released WAY too much at once! This Dr. Strange was good, maybe better than the last Dr. Strange?

What Lost it for me was about the 3/4 mark. There was just way too much going on at once. I did like the Wanda part of the story and felt generally the characters all had good chemistry with one another. The credits trailer made no sense?! All and all, worth seeing.

:~)"
Not what i expected,
Not sure what these low reviews are about,"This was the darkest Marvel movie yet. Dealt with witchcraft, black magic, demons, etc. And very violent.

Very exciting though and as usual, wonderful graphics."
Masterpiece,"This movie is really a heartwarming, it's CGI, storyline, performance by characters are very very good. The only disappointing thing is its short runtime.."
Masterpiece,
"Not enough multiverse, not enough madness","I liked the idea for the plot as we see Wanda continue to struggle with her emotions, her place in the world, and the events of Wandavision.

However, there could have been a better use for the cameos which didn't fit that well at all.

Seeing as it involved the darkhold, we could've witnessed some fantastic dark villains and creatures, along with some terrifying multiverse world's upon which the darkhold draws from - maybe even the negative zone for example.

In regards to multiverse's and madness well...there could've been so, so much more to offer and unfortunately I feel the opportunity was sadly missed to deliver a truly compelling fantasy horror.

Maybe this would have been better as a series and draw off some of the creative writing from Loki, or even something like Stranger Things has the creativity to indulge into other dimensions.

Overall, it was good but Feige's executive team missed an absolute sitter to have filmed something unique!!"
"Wow!!! I loved it, if you want to enjoy don't watch the trailer before the movie!!!","After Spider-Man 3 that the trailers and blogs ruined for me the element of surprise I promised myself not to watch the trailer of Doctor Strange 2, and because I did not watch the trailer and read speculations on the movie online I felt I was really surprised throughout the movie.

Doctor Strange 2 took me into the marvelous universe of Marvel.

The director Sam Raimi is amazing, and he did such a good job with this film.

It's a combination of fantasy and horror, so don't except light movie.

This one is for the true Marvel fans."
Best MCU movie so far,It breaks out of overplayed genre cliches and mixes Raimi-esque horror tropes with power fantasy. It's a blast. Substract one if you're not into Raimi classics.
If you waste a good villain to a stupid magic system and unbelievable stakes,
Not Like Marvel Movies #Heavy Spoilers,
Non-Spoiler Review,"First Of all, this movie is definitely not what you are expecting...this is on whole another level. Secondly, there are some scenes where you might be dissapointed, maybe some of you. Absolute masterpiece by MCU as always. Mommyyyy Wanda did steal the movie although story was bit slow, Marvel should have increased the Duration in final cut. Must Watch, You'll have best experience on Big Screen."
"*SPOILERS* Enjoyable, but incredibly flawed",
Horror elements saved this from being really bad,Probably the 5th worst film in the MCU. It was terribly dull and pretty woke along with a pointless plot. Acting wasn't the greatest but it wasn't that bad. The horror elements were pretty cool and probably saved the 7/10 rating. The multiverse stuff was pretty cool too but there definitely wasn't enough of it. Seems like a lot of people are harsh with their ratings these days but this was definitely entertaining enough for a 2 hour flick.
Wonderful,"I enjoyed every minute of it. Kept you engaged the whole time, was fast paced but not too fast where you can't keep up. Had some jump scares that made me as a grown adult jump. I love how it's a different feel than end game, infinity war, and Spider-Man no way home. Those movies had the same feel to them but this one was unique and had a very doctor strange feel to it."
A great disappointed,
Could have still been good without so much violence,
Fast and the furious 47: Steven Strange Drift,This movie had all the story and acting of a fast and furious movie and none of the family. But in typical marvel fashion it was loaded with cgi and bright colors. Is this the end? Is the marvel the latest thing Disney destroys? Where do I get my refund for both cost and time?
Absolute Madness,
Character Assassination,"It's painfully clear that Sam Raimi only watched parts of WandaVision (the parts he was told would be relevant), and straight up ignores all of Wanda's character development from that movie. Now she's making all the same mistakes again, but even more extreme, thanks to being corrupted by an evil book... I know Sam Raimi isn't good at believable female characters, but this is just sad. Kudos to Elizabeth Olsen for an amazing performance nontheless."
Love the film! I may have done some things different,
Beauty to behold (could've been perfect),"If i could, I'd ask everyone to watch this movie. Of course it had it's short comings but the visual design of this film was almost perfect! Despite the sometimes weird CGI (Seen Specially in the opening fight with Gargantos).

Visuals: 10/10
From beginning till the end, you'll be hooked! The character designs, the angles and direction & the sets.


Story: 7/10
A very simple plot with no weight. No big events or ripple effects from the acts in this story, and the last bit feels rushed.




Special Feats: (i.e., what makes it a must watch!)



Finally they show the impact of the power their characters possess! This also establishes Wanda as the threat she needed to be and it worked!

If you know, you know. The introductions in the Illuminati were pleasing."
Too much given away in the trailer and promo,"Nothing Unexpected ever happened, didn't like the way illuminati was used, the concept of multiverse was good though but for some reason the Fan Service did not worked perhaps because of too much was given away already to bring consumers to the product."
Madness as it should,"Multivere of madness feel like somethingelse from the first part. Violence and creepy at the same time. I think that what we called deep dark fantacy ,isn't it? Watching from all part of it ,This movie of marvel are incredible as always."
